submission name,revised name,hits,number of common atoms,number of atoms,smiles,silane smiles,dummy smiles,thio smiles,issue
PAU-WEI-b9b-2,PAU-WEI-b9b-2_ACR2,"x0104,x0305,x0770,x1380,x1385",23,30,C=CC(=O)N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc(Cl)c2)CC1,O=C(CC[SiH3])N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc(Cl)c2)CC1,*CCC(=O)N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc(Cl)c2)CC1,O=C(CC[S-])N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc(Cl)c2)CC1,
PAU-WEI-b9b-3,PAU-WEI-b9b-3_ACR2,"x0104,x0305,x0770,x1380,x1385",23,27,C=CC(=O)N1CCN(C(CCc2ccc(C)cc2)c2cccc(Cl)c2)CC1,Cc1ccc(CCC(c2cccc(Cl)c2)N2CCN(C(=O)CC[SiH3])CC2)cc1,*CCC(=O)N1CCN(C(CCc2ccc(C)cc2)c2cccc(Cl)c2)CC1,Cc1ccc(CCC(c2cccc(Cl)c2)N2CCN(C(=O)CC[S-])CC2)cc1,
PAU-WEI-b9b-4,PAU-WEI-b9b-4_ACR2,"x0104,x0305,x0770,x1380,x1385",22,27,C=CC(=O)N1CCN(C(CCc2ccccc2)c2cccc(C#N)c2)CC1,N#Cc1cccc(C(CCc2ccccc2)N2CCN(C(=O)CC[SiH3])CC2)c1,*CCC(=O)N1CCN(C(CCc2ccccc2)c2cccc(C#N)c2)CC1,N#Cc1cccc(C(CCc2ccccc2)N2CCN(C(=O)CC[S-])CC2)c1,
PAU-WEI-b9b-5,PAU-WEI-b9b-5_ACR2,"x0104,x0305,x0770,x1380,x1385",23,31,C=CC(=O)N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc(C#N)c2)CC1,N#Cc1cccc(C(CCc2ccc(C(F)(F)F)cc2)N2CCN(C(=O)CC[SiH3])CC2)c1,*CCC(=O)N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc(C#N)c2)CC1,N#Cc1cccc(C(CCc2ccc(C(F)(F)F)cc2)N2CCN(C(=O)CC[S-])CC2)c1,
PAU-WEI-b9b-6,PAU-WEI-b9b-6_ACR2,"x0104,x0305,x0770,x1380,x1385",23,28,C=CC(=O)N1CCN(C(CCc2ccc(C)cc2)c2cccc(C#N)c2)CC1,Cc1ccc(CCC(c2cccc(C#N)c2)N2CCN(C(=O)CC[SiH3])CC2)cc1,*CCC(=O)N1CCN(C(CCc2ccc(C)cc2)c2cccc(C#N)c2)CC1,Cc1ccc(CCC(c2cccc(C#N)c2)N2CCN(C(=O)CC[S-])CC2)cc1,
PAU-WEI-b9b-7,PAU-WEI-b9b-7_ACR2,"x0104,x0305,x0770,x1380,x1385",29,34,C=CC(=O)N1CCN(C(CCc2ccccc2)c2cccc3c(CCNC(C)=O)c[nH]c23)CC1,CC(=O)NCCc1c[nH]c2c(C(CCc3ccccc3)N3CCN(C(=O)CC[SiH3])CC3)cccc12,*CCC(=O)N1CCN(C(CCc2ccccc2)c2cccc3c(CCNC(C)=O)c[nH]c23)CC1,CC(=O)NCCc1c[nH]c2c(C(CCc3ccccc3)N3CCN(C(=O)CC[S-])CC3)cccc12,
PAU-WEI-b9b-8,PAU-WEI-b9b-8_ACR2,"x0104,x0305,x0770,x1380,x1385",29,35,C=CC(=O)N1CCN(C(CCc2ccc(C)cc2)c2cccc3c(CCNC(C)=O)c[nH]c23)CC1,CC(=O)NCCc1c[nH]c2c(C(CCc3ccc(C)cc3)N3CCN(C(=O)CC[SiH3])CC3)cccc12,*CCC(=O)N1CCN(C(CCc2ccc(C)cc2)c2cccc3c(CCNC(C)=O)c[nH]c23)CC1,CC(=O)NCCc1c[nH]c2c(C(CCc3ccc(C)cc3)N3CCN(C(=O)CC[S-])CC3)cccc12,
PAU-WEI-b9b-9,PAU-WEI-b9b-9_ACR2,"x0104,x0305,x0770,x1380,x1385",29,38,C=CC(=O)N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc3c(CCNC(C)=O)c[nH]c23)CC1,CC(=O)NCCc1c[nH]c2c(C(CCc3ccc(C(F)(F)F)cc3)N3CCN(C(=O)CC[SiH3])CC3)cccc12,*CCC(=O)N1CCN(C(CCc2ccc(C(F)(F)F)cc2)c2cccc3c(CCNC(C)=O)c[nH]c23)CC1,CC(=O)NCCc1c[nH]c2c(C(CCc3ccc(C(F)(F)F)cc3)N3CCN(C(=O)CC[S-])CC3)cccc12,
PAU-WEI-c6d-1,PAU-WEI-c6d-1_ACR2,"x0072,x0305,x1380",24,26,C=CC(=O)N1CC[C@H](C(=O)N2CCCCC2)[C@@H](CCc2ccccc2)C1,O=C(CC[SiH3])N1CC[C@H](C(=O)N2CCCCC2)[C@@H](CCc2ccccc2)C1,*CCC(=O)N1CC[C@H](C(=O)N2CCCCC2)[C@@H](CCc2ccccc2)C1,O=C(CC[S-])N1CC[C@H](C(=O)N2CCCCC2)[C@@H](CCc2ccccc2)C1,
PAU-WEI-f73-1,PAU-WEI-f73-1_ACR2,"x0104,x0305,x0830,x1249,x1385",31,32,C=CC(=O)N1CCN(C(c2ccc(Br)s2)c2cccc3c(CCNC(C)=O)c[nH]c23)CC1,CC(=O)NCCc1c[nH]c2c(C(c3ccc(Br)s3)N3CCN(C(=O)CC[SiH3])CC3)cccc12,*CCC(=O)N1CCN(C(c2ccc(Br)s2)c2cccc3c(CCNC(C)=O)c[nH]c23)CC1,CC(=O)NCCc1c[nH]c2c(C(c3ccc(Br)s3)N3CCN(C(=O)CC[S-])CC3)cccc12,
PAU-WEI-f73-2,PAU-WEI-f73-2_ACR2,"x0104,x0305,x0830,x1249,x1385",27,35,C=CC(=O)N1CCN(C(c2ccc(Br)s2)c2cc(C#N)ccc2CNC(=O)N2CCOCC2)CC1,N#Cc1ccc(CNC(=O)N2CCOCC2)c(C(c2ccc(Br)s2)N2CCN(C(=O)CC[SiH3])CC2)c1,*CCC(=O)N1CCN(C(c2ccc(Br)s2)c2cc(C#N)ccc2CNC(=O)N2CCOCC2)CC1,N#Cc1ccc(CNC(=O)N2CCOCC2)c(C(c2ccc(Br)s2)N2CCN(C(=O)CC[S-])CC2)c1,
PAU-WEI-f73-3,PAU-WEI-f73-3_ACR2,"x0104,x0305,x0830,x1249,x1385",23,28,C=CC(=O)N1CCN(C(c2ccc(Br)s2)c2cc(C#N)cnc2NCC)CC1,CCNc1ncc(C#N)cc1C(c1ccc(Br)s1)N1CCN(C(=O)CC[SiH3])CC1,*CCC(=O)N1CCN(C(c2ccc(Br)s2)c2cc(C#N)cnc2NCC)CC1,CCNc1ncc(C#N)cc1C(c1ccc(Br)s1)N1CCN(C(=O)CC[S-])CC1,
PED-UNI-89d-1,PED-UNI-89d-1_ACR2,"x0831,x0946",22,24,C=CC(=O)N1CCC[N@H+](CCc2cc(S(N)(=O)=O)ccc2Br)CC1,NS(=O)(=O)c1ccc(Br)c(CC[N@H+]2CCCN(C(=O)CC[SiH3])CC2)c1,*CCC(=O)N1CCC[N@H+](CCc2cc(S(N)(=O)=O)ccc2Br)CC1,NS(=O)(=O)c1ccc(Br)c(CC[N@H+]2CCCN(C(=O)CC[S-])CC2)c1,
PED-UNI-b79-1,PED-UNI-b79-1_ACR2,"x1249,x1308",19,40,C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)c(C[C@@H]3CN(C(=O)NCc4ccc([N+](=O)[O-])cc4)CCO3)c2)CC1,O=C(CC[SiH3])N1CCN(S(=O)(=O)c2ccc(Cl)c(C[C@@H]3CN(C(=O)NCc4ccc([N+](=O)[O-])cc4)CCO3)c2)CC1,*CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)c(C[C@@H]3CN(C(=O)NCc4ccc([N+](=O)[O-])cc4)CCO3)c2)CC1,O=C(CC[S-])N1CCN(S(=O)(=O)c2ccc(Cl)c(C[C@@H]3CN(C(=O)NCc4ccc([N+](=O)[O-])cc4)CCO3)c2)CC1,
PED-UNI-b79-2,PED-UNI-b79-2_ACR2,"x1249,x1308",19,39,C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)c(C[C@@H]3CN(C(=O)NCc4ccc(C#N)cc4)CCO3)c2)CC1,N#Cc1ccc(CNC(=O)N2CCO[C@H](Cc3cc(S(=O)(=O)N4CCN(C(=O)CC[SiH3])CC4)ccc3Cl)C2)cc1,*CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)c(C[C@@H]3CN(C(=O)NCc4ccc(C#N)cc4)CCO3)c2)CC1,N#Cc1ccc(CNC(=O)N2CCO[C@H](Cc3cc(S(=O)(=O)N4CCN(C(=O)CC[S-])CC4)ccc3Cl)C2)cc1,
PED-UNI-d0b-1,PED-UNI-d0b-1_ACR2,"x0195,x1385",16,32,C=CC(=O)N1CC[NH+]([C@H](C[C@H]2CCc3ccc(S(N)(=O)=O)cc3N2)c2ccc(Br)s2)CC1,NS(=O)(=O)c1ccc2c(c1)N[C@@H](C[C@H](c1ccc(Br)s1)[NH+]1CCN(C(=O)CC[SiH3])CC1)CC2,*CCC(=O)N1CC[NH+]([C@H](C[C@H]2CCc3ccc(S(N)(=O)=O)cc3N2)c2ccc(Br)s2)CC1,NS(=O)(=O)c1ccc2c(c1)N[C@@H](C[C@H](c1ccc(Br)s1)[NH+]1CCN(C(=O)CC[S-])CC1)CC2,
